Incident Date,State,City Or County,Address,# Killed,# Injured,#Total
8-Dec-20,West Virginia,Williamsburg,611 Flynns Creek Rd,6,0,6
8-Dec-20,Louisiana,Lacombe,28399 Palmer Dr,2,3,5
6-Dec-20,Texas,Venus,6100 N FM 157,0,6,6
5-Dec-20,California,Hayward,25000 block of Eldridge Ave,1,3,4
5-Dec-20,North Carolina,Autryville,10101 Gip Rd,0,6,6
4-Dec-20,Illinois,Chicago,4400 block of W Adams St,0,4,4
1-Dec-20,Pennsylvania,Morrisville,1 Makefield Rd,1,3,4
30-Nov-20,Alaska,Palmer,335 N Valley Way,4,0,4
29-Nov-20,Mississippi,Grenada,Highway 8 East,0,11,11
29-Nov-20,Tennessee,Memphis,3492 W Metropolitan Cir,2,3,5
28-Nov-20,South Carolina,Aiken,1695 Richland Ave E,1,10,11
28-Nov-20,South Carolina,Conway,3800 block of Golden Key Rd,0,5,5
28-Nov-20,Louisiana,New Orleans,7001 Lawrence Rd,0,4,4
27-Nov-20,Georgia,Macon,425 Cherry St,1,5,6
27-Nov-20,Ohio,Toledo,3257 Stickney Ave,0,6,6
26-Nov-20,Nevada,Henderson,870 E Lake Mead Pkwy,1,5,6
22-Nov-20,New Jersey,Trenton,Stuyvesant Ave and Hoffman Ave,0,4,4
22-Nov-20,New York,Brooklyn,15 Albany Ave,1,6,7
22-Nov-20,Illinois,Chicago,700 block of E 101st St,1,3,4
22-Nov-20,Louisiana,New Orleans,9232 Chef Menteur Hwy,1,3,4
21-Nov-20,Illinois,Chicago,W 79th St and S Justine St,0,6,6
21-Nov-20,Arizona,Phoenix,35th Ave and Earll Dr,1,4,5
21-Nov-20,Nebraska,Bellevue,1307 Cornhusker Rd,2,2,4
20-Nov-20,Wisconsin,Milwaukee (Wauwatosa),2500 N Mayfair Rd,0,8,8
19-Nov-20,Florida,Haines City,422 N 15th St,1,3,4
18-Nov-20,Texas,Houston,11614 Manor Park Dr,3,2,5
18-Nov-20,South Carolina,Florence,500 block of Gaillard St,0,4,4
17-Nov-20,Tennessee,Jackson,Honey Bear Cove,0,4,4
16-Nov-20,Florida,Miami,200 block of S Biscayne River Dr,0,4,4
16-Nov-20,Illinois,Chicago,700 block of S Pulaski Rd,0,4,4
16-Nov-20,Illinois,Chicago,2700 block of S State St,0,4,4
15-Nov-20,Louisiana,Shreveport,300 block of Douglas St,0,5,5
15-Nov-20,Georgia,Jonesboro,Museum Cir,2,2,4
14-Nov-20,South Carolina,Sumter,1008 Marilyn Ave,3,1,4
14-Nov-20,Missouri,Fulton,1915 N Bluff St,0,4,4
14-Nov-20,Ohio,Cincinnati,400 block of Kings Run Dr,0,4,4
14-Nov-20,California,Riverside,La Sierra Avenue and Tin Mine Road,2,3,5
12-Nov-20,Florida,Tampa,1200 block of E Palifox St,2,4,6
12-Nov-20,North Carolina,Gastonia,1225 Union Rd,0,6,6
10-Nov-20,Florida,Tampa,N 50th St and Sligh Ave,1,7,8
9-Nov-20,Texas,Fort Worth,5310 E Rosedale St,0,4,4
8-Nov-20,Virginia,Virginia Beach,3700 block of Whitney Ct,0,4,4
8-Nov-20,Tennessee,Nashville,2nd Ave N and Commerce St,0,8,8
7-Nov-20,Kansas,Ogden,225 Riley Ave,0,4,4
7-Nov-20,South Carolina,Rock Hill,241 Albright Rd,1,3,4
6-Nov-20,Louisiana,New Orleans,8622 Belfast St,2,2,4
5-Nov-20,Ohio,Toledo,2125 Parkwood Ave,3,2,5
4-Nov-20,Missouri,Jefferson City,1299 Lafayette St,0,4,4
3-Nov-20,Nevada,Henderson,1445 Stonelake Cove Ave,4,1,5
2-Nov-20,Ohio,Mansfield,136 Sturges Ave,0,5,5
1-Nov-20,South Carolina,Hollywood,7800 block of White Point Rd,0,6,6
1-Nov-20,Indiana,Evansville,664 E Illinois St,0,4,4
1-Nov-20,Oklahoma,Oklahoma City,10601 S Western Ave,1,3,4
1-Nov-20,North Carolina,Winston Salem (Winston-salem),3900 block of Glen Hi Rd,1,3,4
1-Nov-20,Arizona,Tucson,2500 block of E Aerospace Parkway,2,2,4
1-Nov-20,New Jersey,Atlantic City,2721 Arctic Ave,1,4,5
31-Oct-20,California,Sacramento,2800 block of Normington Dr,0,4,4
31-Oct-20,Washington,Sumner,127th Ave E and Valley Ave E,0,5,5
31-Oct-20,California,Anaheim,1210 S State College Blvd,0,4,4
31-Oct-20,Nevada,North Las Vegas,3700 block of Iverson Ln,0,4,4
31-Oct-20,Maryland,College Park,7700 Baltimore Ave,0,7,7
30-Oct-20,Maryland,Waldorf,2177 Crain Hwy,1,3,4
30-Oct-20,Illinois,Chicago,11613 S Vincennes Ave,1,3,4
29-Oct-20,Florida,Winter Garden,Center St and 11th St,0,4,4
28-Oct-20,Virginia,Roanoke,1400 block of Rorer Ave SW,0,4,4
28-Oct-20,New Jersey,Newark,381 S 6th St,1,3,4
25-Oct-20,Texas,Fort Worth,1900 block of Carver Ave,2,3,5
25-Oct-20,Texas,San Antonio,2800 block of W Hutchins Pl,1,3,4
25-Oct-20,North Carolina,Raleigh,1731 Trawick Rd,1,3,4
24-Oct-20,Mississippi,Greenwood,W Martin Luther King Dr,2,8,10
22-Oct-20,Florida,Miami,1830 NW 50 St,1,3,4
22-Oct-20,Louisiana,Rayne,I-10,0,5,5
22-Oct-20,Massachusetts,Boston,Columbia Rd and Stanwood St,0,4,4
22-Oct-20,Maryland,Baltimore,500 block of W Franklin St,0,4,4
21-Oct-20,New York,Brooklyn,Nostrand Ave and Hawthorne St,1,5,6
21-Oct-20,Mississippi,Canton,1427 W Peace St,2,2,4
20-Oct-20,Texas,Houston,2117 Chenevert St,3,1,4
19-Oct-20,Ohio,Mansfield,136 Sturges Ave,0,5,5
19-Oct-20,Louisiana,New Orleans,2599 N Prieur St,1,3,4
18-Oct-20,Maryland,Annapolis,100 block of Clay St,1,3,4
